Glon Glat Vlsr Dgc azimuth Dsun
2.592299999999999827e+01 0.000000000000000000e+00 1.056129999999999995e+02 3.660000000000000142e+00 5.000000000000000000e+01 6.413000000000000256e+00
2.597599999999999909e+01 0.000000000000000000e+00 1.049090000000000060e+02 3.681999999999999940e+00 4.900000000000000000e+01 6.344999999999999751e+00
2.601899999999999835e+01 0.000000000000000000e+00 1.041670000000000016e+02 3.705000000000000071e+00 4.800000000000000000e+01 6.277000000000000135e+00
2.605199999999999960e+01 0.000000000000000000e+00 1.033859999999999957e+02 3.728000000000000203e+00 4.700000000000000000e+01 6.208000000000000185e+00
2.607600000000000051e+01 0.000000000000000000e+00 1.025660000000000025e+02 3.750999999999999890e+00 4.600000000000000000e+01 6.139000000000000234e+00
2.608800000000000097e+01 0.000000000000000000e+00 1.017049999999999983e+02 3.774999999999999911e+00 4.500000000000000000e+01 6.068999999999999950e+00
2.608899999999999864e+01 0.000000000000000000e+00 1.008040000000000020e+02 3.798000000000000043e+00 4.400000000000000000e+01 5.998999999999999666e+00
