Glon Glat Vlsr Dgc azimuth Dsun
2.879899999999999949e+01 0.000000000000000000e+00 5.128300000000000125e+01 5.551999999999999602e+00 1.600000000000000000e+01 3.176000000000000156e+00
2.954500000000000171e+01 0.000000000000000000e+00 5.347399999999999665e+01 5.516000000000000014e+00 1.700000000000000000e+01 3.270000000000000018e+00
3.021600000000000108e+01 0.000000000000000000e+00 5.557999999999999829e+01 5.480000000000000426e+00 1.800000000000000000e+01 3.365000000000000213e+00
3.081800000000000139e+01 0.000000000000000000e+00 5.760600000000000165e+01 5.445000000000000284e+00 1.900000000000000000e+01 3.459999999999999964e+00
3.135900000000000176e+01 0.000000000000000000e+00 5.955700000000000216e+01 5.410000000000000142e+00 2.000000000000000000e+01 3.556000000000000050e+00
3.184100000000000108e+01 0.000000000000000000e+00 6.143800000000000239e+01 5.375000000000000000e+00 2.100000000000000000e+01 3.650999999999999801e+00
3.227000000000000313e+01 0.000000000000000000e+00 6.325300000000000011e+01 5.341000000000000192e+00 2.200000000000000000e+01 3.746999999999999886e+00
3.265100000000000335e+01 0.000000000000000000e+00 6.500600000000000023e+01 5.306000000000000050e+00 2.300000000000000000e+01 3.842999999999999972e+00
